ranking,ISBN,description,author,avg_rating,title,num_ratings,score,awards,voted,year,pages
291,9780805210552,"The Complete Stories brings together all of Kafka’s stories, from the classic tales such as “The Metamorphosis,” “In the Penal Colony,” and “A Hunger Artist” to shorter pieces and fragments that Max Brod, Kafka’s literary executor, released after Kafka’s death. With the exception of his three novels, the whole of Kafka’s narrative work is included in this volume. ,--penguin",Franz Kafka,4.35,The Complete Stories,"21,174","10,351",None,134,1946,486
290,9780312270827,"One of the most controversial and acclaimed novels ever written, , is Salman Rushdie’s best-known and most galvanizing book. Set in a modern world filled with both mayhem and miracles, the story begins with a bang: the terrorist bombing of a London-bound jet in midflight. Two Indian actors of opposing sensibilities fall to earth, transformed into living sy",Salman Rushdie,3.71,The Satanic Verses,"44,731","10,427","Man Booker Prize Nominee (1988),Whitbread Award for Novel (1988)",133,1988,561
292,9780060809249,"First published in French as a serial in 1909, , is a riveting story that revolves around the young, Swedish Christine Daaé. Her father, a famous musician, dies, and she is raised in the Paris Opera House with his dying promise of a protective angel of music to guide her. After a time at the opera house, she begins hearing a voice, who eventually tea",Gaston Leroux,3.97,The Phantom of the Opera,"164,809","10,262",None,137,1909,360
289,9781400033423,"Milkman Dead was born shortly after a neighborhood eccentric hurled himself off a rooftop in a vain attempt at flight. For the rest of his life he, too, will be trying to fly. With this brilliantly imagined novel, Toni Morrison transfigures the coming-of-age story as audaciously as Saul Bellow or Gabriel García Márquez. As she follows Milkman from his rustbelt city to the",Toni Morrison,4.02,Song of Solomon,"66,879","10,460","Janet Heidinger Kafka Prize (1977),National Book Critics Circle Award for Fiction (1977)",137,1977,337
85,9780061120060,"Fair and long-legged, independent and articulate, Janie Crawford sets out to be her own person -- no mean feat for a black woman in the '30s. Janie's quest for identity takes her through three marriages and into a journey back to her roots.",Zora Neale Hurston,3.87,Their Eyes Were Watching God,"206,839","83,409",Audie Award for Solo Narration - Female (2001),933,1937,237
288,9780452284692,None,Stephen King,3.97,"The Gunslinger (The Dark Tower, #1)","402,382","10,476",None,132,1982,231
287,9780590032490,"This is not a fairy-tale. This is about ,. Real witches don't ride around on broomsticks. They don't even wear black cloaks and hats. They are vile, cunning, detestable creatures who disguise themselves as nice, ordinary ladies. So how can you tell when you're face to face with one? Well, if you don't know yet you'd better find out quickly-because there's nothin",Roald Dahl,4.17,The Witches,"247,609","10,595","Whitbread Award for Children's Novel (1983),Books I Loved Best Yearly (BILBY) Awards for Read Alone (1993),West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1986)",140,1983,208
286,9780751514629,"A ""hypnotic"" (The New York Times Book Review) collection of four novellas from Stephen King bound together by the changing of seasons, each taking on the theme of a journey with strikingly different tones and characters.,""The wondrous readability of his work, as well as the instant sense of communication with his characters, are what make Stephen King the consummate storyte",Stephen King,4.34,Different Seasons,"144,468","10,664",World Fantasy Award Nominee for Best Anthology/Collection (1982),144,1982,560
285,9780553803716,"For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future -- to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save mankind, Seldon gathers the best minds in the Empire -- both scientis",Isaac Asimov,4.14,Foundation (Foundation #1),"315,380","10,742",None,147,1951,244
284,9780141310886,"""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becom",Laurie Halse Anderson,4.00,Speak,"389,469","10,933","SCBWI Golden Kite Award for Fiction (1999),Edgar Award Nominee for Best Young Adult (2000),Michael L. Printz Award Nominee (2000),South Carolina Book Award for Young Adult Book Award (2002),Dorothy Canfield Fisher Children's Book Award Nominee (2001)",131,1999,208
797,9780743204019,"Quite possibly the most perfect holiday gift -- a beautiful boxed collection of two prizewinning, perennial bestselling modern classics: ""Angela's Ashes"" and ""'Tis."" With almost 8 million copies of Frank McCourt's books in print, fans just can't get enough of their favorite author. From the heartwrenching times young Frank spent in the slums of Ireland to his struggle for",Frank McCourt,4.08,The Angela's Ashes/'Tis Boxed Set,"1,313","1,349",None,23,1996,736
799,9780803283855,"The most important aspect of this book is upon the contemporary generation of young Indians who have been aggressively searching for roots of their own in the structure of universal reality. They look to it for spiritual guidance, for sociological identity, for political insight, and the affirmation of the continuing substance of Indian tribal life.",Black Elk,4.13,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,"11,327","1,348",None,21,1932,270
797,9780064410342,"Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it",Diana Wynne Jones,4.30,"Howl's Moving Castle (Howl's Moving Castle, #1)","149,291","1,349","Phoenix Award (Children's Literature Association) (2006),Boston Globe-Horn Book Award (1987)",19,1986,329
796,9780156226004,"Italo Calvino's extraordinary imagination and intelligence combine here in an enchanting series of stories about the evolution of the universe. He makes characters out of mathematical formulae and simple cellular structures. They disport themselves among galaxies, experience the solidification of planets, move from aquatic to terrestrial existence, play games with hydrogen",Italo Calvino,4.20,Cosmicomics,"12,141","1,350",National Book Award for Translation (1969),17,1965,153
800,9780679723059," ,In his second collection, Carver establishes his reputation as one of the most celebrated short-story writers in American literature—a haunting meditation on love, loss, and companionship, and finding one’s way through the dark.",Raymond Carver,4.21,What We Talk About When We Talk About Love,"35,474","1,341",None,19,1981,159
795,9780099461883," Magazine included the book in its list of the 100 Best English-language Novels from 1923 to 2005. The story of John Self and his insatiable appetite for money, alcohol, fast food, drugs, porn and more, , is ceaselessly inventive and thrillingly savage; a tale of life lived without restraint, of money and the disasters it can precipitate.",Martin Amis,3.70,Money,"17,062","1,357",None,19,1984,394
794,9780061177583,"In what is widely hailed as the best of his many novels, Charles Bukowski details the long, lonely years of his own hardscrabble youth in the raw voice of alter ego Henry Chinaski. From a harrowingly cheerless childhood in Germany through acne-riddled high school years and his adolescent discoveries of alcohol, women, and the Los Angeles Public Library's collection of D. H",Charles Bukowski,4.16,Ham on Rye,"65,042","1,361",None,17,1982,288
793,9780061129766,"Ed Abbey called The Monkey Wrench Gang, his 1975 novel, a ""comic extravaganza."" Some readers have remarked that the book is more a comic book than a real novel, and it's true that reading this incendiary call to protect the American wilderness requires more than a little of the old willing suspension of disbelief. The story centers on Vietnam veteran George Washington Hayd",Edward Abbey,4.09,"The Monkey Wrench Gang (Monkey Wrench Gang, #1)","17,582","1,362",None,19,1975,421
792,9780684815008,"One of the most important theologians of the twentieth century illuminates the relationship between ourselves and the teachings of Jesus in this classic text on ethics, humanism, and civic duty.,What can the call to discipleship, the adherence to the word of Jesus, mean today to the businessman, the soldier, the laborer, or the aristocrat? What did Jesus mean to say to us?",Dietrich Bonhoeffer,4.35,The Cost of Discipleship,"25,381","1,364",None,19,1937,320
383,9780679879251,"Lost in a new world, Lyra finds Will—a boy on the run, a murderer—a worthy and welcome ally. For this is a world where soul-eating Specters stalk the streets and witches share the skies with troops of angels.,Each is searching—Lyra for the meaning of Dark Matter, Will for his missing father—but what they find instead is a deadly secret, a knife of untold power. And neither",Philip Pullman,4.11,"The Subtle Knife (His Dark Materials, #2)","284,461","6,271","Audie Award for Children's Titles Ages 8-12 (2001),North East Teenage Book Award Nominee (1999)",85,1997,326
384,9781857988840,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell",Kurt Vonnegut,4.16,The Sirens of Titan,"88,819","6,247",Hugo Award Nominee for Best Novel (1960),87,1959,224
380,9780151010264,"This edition features George Orwell's best known novels – , and , – with an introduction by Christopher Hitchens., In ,, London is a grim city where Big Brother is always watching you and the Thought Police can practically read your mind.  Winston Smith joins a secret revolutionary organization called The Brotherhood, dedicated to the destruction of the Part",George Orwell,4.26,Animal Farm / 1984,"128,823","6,397",None,92,1950,400
382,9780679776819,"Crafted from the ruins of war and the indestructibility of love, Birdsong is a novel that will be read and marveled at for years to come.,Published to international critical and popular acclaim, this intensely romantic yet stunningly realistic novel spans three generations and the unimaginable gulf between the First World War and the present. As the young Englishman Stephen",Sebastian Faulks,4.07,Birdsong,"57,749","6,285",Premio Internacional de Novela Histórica Ciudad de Zaragoza (2010),78,1993,483
381,9780679733782," by celebrated writer and thinker Kobo Abe, combines the essence of myth, suspense and the existential novel.,  , After missing the last bus home following a day trip to the seashore, an amateur entomologist is offered lodging for the night at the bottom of a vast sand pit. But when he attempts to leave the next morning, he quickly discovers that the l",Kōbō Abe,3.91,The Woman in the Dunes,"15,023","6,372","Prix du Meilleur Livre Étranger for Roman (1967),Yomiuri Prize 読売文学賞 for Fiction (1962)",85,1962,256
377,9780385334143,None,Kurt Vonnegut,4.21,Mother Night,"60,775","6,478",None,85,1961,282
378,9780099285045,"Begun in the autumn of 1957 and published posthumously in 1964, Ernest Hemingway's , captures what it meant to be young and poor and writing in Paris during the 1920s. A correspondent for the , Hemingway arrived in Paris in 1921, three years after the trauma of the Great War and at the beginning of the transformation of Europe's cultural landscap",Ernest Hemingway,4.04,A Moveable Feast,"94,411","6,433",None,91,1964,182
379,9780060741877,"""Alas, Babylon."" Those fateful words heralded the end. When a nuclear holocaust ravages the United States, a thousand years of civilization are stripped away overnight, and tens of millions of people are killed instantly. But for one small town in Florida, miraculously spared, the struggle is just beginning, as men and women of all backgrounds join together to confront the",Pat Frank,4.07,"Alas, Babylon","32,631","6,398",Audie Award for Fiction (2012),77,1959,323
500,9780141181363,"Ramsay is a man twice born, a man who has returned from the hell of the battle-grave at Passchendaele in World War I decorated with the Victoria Cross and destined to be caught in a no man's land where memory, history, and myth collide. As Ramsay tells his story, it begins to seem that from boyhood, he has exerted a perhaps mystical, perhaps pernicious, influence on those",Robertson Davies,4.04,"Fifth Business (The Deptford Trilogy, #1)","14,131","3,612",Premi Llibreter de narrativa (2006),49,1970,252
376,9780679733737,"One of the most influential works of this century, this is a crucial exposition of existentialist thought. Influenced by works such as Don Juan and the novels of Kafka, these essays begin with a meditation on suicide: the question of living or not living in an absurd universe devoid of order or meaning. With lyric eloquence, Camus posits a way out of despair, reaffirming t",Albert Camus,4.19,The Myth of Sisyphus and Other Essays,"32,450","6,490",None,88,1942,212
499,9780809599813,"In 1888 Lord and Lady Clayton sail from England but to West Africa and perish on a remote island. When their infant son is adopted by fanged, great anthropoid apes, he is Tarzan of the Apes. His intelligence and caring mother raise him to be king. Self-educated by his parents’ library, Tarzan rescues genteel Jane Porter from the perils of his jungle.",Edgar Rice Burroughs,3.89,"Tarzan of the Apes (Tarzan, #1)","33,765","3,631",None,55,1912,324
498,9780060885427,"The town of De Smet is hit with terrible, howling blizzards and Laura and her family must ration their food and coal. When the supply train doesn't arrive, Almanzo Wilder and his brother realize something must be done. They begin an impossible journey in search of provisions, before it's too late.",Laura Ingalls Wilder,4.14,"The Long Winter (Little House, #6)","64,755","3,671","Newbery Honor (1941),Boston Globe-Horn Book Award (1940)",56,1940,422
497,9780345409461,How can we make intelligent decisions about our increasingly technology-driven lives if we don’t understand the difference between the myths of pseudoscience and the testable hypotheses of science? Pulitzer Prize-winning author and distinguished astronomer Carl Sagan argues that scientific thinking is critical not only to the pursuit of truth but to the very well-being of,Carl Sagan,4.27,The Demon-Haunted World: Science as a Candle in the Dark,"45,657","3,675",Los Angeles Times Book Prize for Science and Technology (1996),46,1995,457
185,9780143036371,"Set in post-apartheid South Africa, J. M. Coetzee’s searing novel tells the story of David Lurie, a twice divorced, 52-year-old professor of communications and Romantic Poetry at Cape Technical University. Lurie believes he has created a comfortable, if somewhat passionless, life for himself. He lives within his financial and emotional means. Though his position at the uni",J.M. Coetzee,3.84,Disgrace,"65,985","19,907","Man Booker Prize (1999),National Book Critics Circle Award Nominee for Fiction (1999),Commonwealth Writers' Prize for Best Book Overall (2000),The Best of the Booker Nominee (2008)",234,1999,220
375,,"El único propósito de este libro es ayudar al lector a que descubra, desarrolle y aproveche esos poderes latentes que no emplea. Dale Carnegie.,ALGUNOS PUNTOS IMPORTANTES DEL CONTENIDO,Primera Parte,TÉCNICAS FUNDAMENTALES PARA TRATAR CON EL PRÓJIMO,(Si quiere recoger miel, no de puntapiés a la colmena - El gran secreto para tratar con la gente).,Segunda Parte,SEIS MANERAS DE AGR",Dale Carnegie,4.15,How to Win Friends and Influence People,"343,880","6,495",None,89,1936,288
184,," is a marvel of ingenuity, an experimental text that looks longingly back to the great age of narration--""when time no longer seemed stopped and did not yet seem to have exploded."" Italo Calvino's novel is in one sense a comedy in which the two protagonists, the Reader and the Other Reader, ultimately end up married, having almost finished",Italo Calvino,4.08,If on a Winter's Night a Traveler,"56,885","20,133","Ars Translationis (2010),Ein Buch für die Stadt (2004)",232,1979,260
183,9780060589462,"One of the most important & influential books written in the past half-century, Robert M. Pirsig's , is a powerfully moving & penetrating examination of how we live, a breathtaking meditation on how to live better. Here is the book that transformed a generation, an unforgettable narration of a summer motorcycle trip across",Robert M. Pirsig,3.76,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,"161,573","20,279",National Book Award Finalist Nominee for Contemporary Affairs (1975),255,1974,540
182,9781593081430,"Winner of the 1921 Pulitzer Prize, , is ,’s masterful portrait of desire and betrayal during the sumptuous Golden Age of Old New York, a time when society people “dreaded scandal more than disease.”,This is Newland Archer’s world as he prepares to marry the beautiful but conventional May Welland. But when the mysterious Countess Ellen Olenska",Edith Wharton,3.93,The Age of Innocence,"118,949","20,583",Pulitzer Prize for Novel (1921),263,1920,305
179,9780743253970,"An American classic and great bestseller for over thirty years, , is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war.,Set at a boys boarding school in New England during the early years of World War II, , is a harrowing and luminous parable of the dark side of a",John Knowles,3.56,A Separate Peace,"166,658","21,186","Rosenthal Family Foundation Award (1961),William Faulkner Foundation Award (1961),National Book Award Finalist for Fiction (1961)",268,1959,204
496,9780140274219,"Born into an oppressive, colonialist society, Creole heiress Antoinette Cosway meets a young Englishman who is drawn to her innocent sensuality and beauty. But soon after their marriage, rumors of madness in her family poison his mind against her. He forces Antoinette to conform to his rigid Victorian ideals.",Jean Rhys,3.57,Wide Sargasso Sea,"47,956","3,692","WH Smith Literary Award (1967),W.H. Heinemann Award (1966)",53,1966,160
178,9780312282998,"Joe Kavalier, a young Jewish artist who has also been trained in the art of Houdini-esque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America - the comic book. Drawing on their own fears and dreams, Kavalier",Michael Chabon,4.17,The Amazing Adventures of Kavalier & Clay,"161,918","21,406","Pulitzer Prize for Fiction (2001),PEN/Faulkner Award for Fiction Nominee (2001),Gaylactic Spectrum Award Nominee for Best Novel (2001),California Book Award Gold Medal for Fiction (2000),New York City Book Award for Fiction (2000)",247,2000,639
180,9780552995870,"Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.,The number one bestseller in Mexico and America for almost two years, and subsequently a bestseller around the world, , is a romantic, poignant tale, touched with",Laura Esquivel,3.94,Like Water for Chocolate,"291,668","21,092","Prêmio Jabuti for Tradução (1994),American Booksellers Book Of The Year  Award for Adult Trade (1994)",276,1989,224
181,9780142437964,"Swann's Way tells two related stories, the first of which revolves around Marcel, a younger version of the narrator, and his experiences in, and memories of, the French town Combray. Inspired by the ""gusts of memory"" that rise up within him as he dips a Madeleine into hot tea, the narrator discusses his fear of going to bed at night. He is a creature of habit and dislikes",Marcel Proust,4.14,"Swann's Way (In Search of Lost Time, #1)","33,843","20,729","French-American Foundation Translation Prize for Fiction (2003),Премія «Сковорода» (2001)",247,1913,468
177,9780679751526,"A sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city has become a modern classic.,Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverbera",John Berendt,3.91,Midnight in the Garden of Good and Evil,"182,422","21,566","Pulitzer Prize Nominee for General Nonfiction (1995),Exclusive Books Boeke Prize (1995),Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994),Lambda Literary Award for Gay Men's Mystery (1995)",287,1994,386
176,9780771068713,"With ravishing beauty and unsettling intelligence, Michael Ondaatje's Booker Prize-winning novel traces the intersection of four damaged lives in an Italian villa at the end of World War II. Hana, the exhausted nurse; the maimed thief, Caravaggio; the wary sapper, Kip: each is haunted by the riddle of the English patient, the nameless, burned man who lies in an upstairs ro",Michael Ondaatje,3.88,The English Patient,"94,857","21,590","Man Booker Prize (1992),Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1992),Commonwealth Writers' Prize for Best Book in Caribbean and Canada (1993),Trillium Book Award (1993)",277,1992,320
84,9780679732761,"First published in 1952 and immediately hailed as a masterpiece, , is one of those rare novels that have changed the shape of American literature. For not only does Ralph Ellison's nightmare journey across the racial divide tell unparalleled truths about the nature of bigotry and its effects on the minds of both victims and perpetrators, it gives us an entirely",Ralph Ellison,3.84,Invisible Man,"132,663","83,421",National Book Award for Fiction (1953),940,1952,581
83,9780099910107,"In 1918 Ernest Hemingway went to war, to the ,. He volunteered for ambulance service in Italy, was wounded, and twice decorated. Out of his experiences came ,. Hemingway's description of war is unforgettable. He recreates the fear, the comradeship, the courage of his young American volunteer, and the men and women he meets in Italy with t",Ernest Hemingway,3.79,A Farewell to Arms,"215,571","84,398",None,988,1929,293
82,9780064400022,"The adventures continue for Laura Ingalls and her family as they leave their little house in the Big Woods of Wisconsin and set out for the big skies of the Kansas Territory. They travel for many days in their covered wagon until they find the best spot to build their house. Soon they are planting and plowing, hunting wild ducks and turkeys, and gathering grass for their c",Laura Ingalls Wilder,4.18,"Little House on the Prairie (Little House, #2)","212,608","86,354",None,986,1935,335
81,9780345915597,"This is the life and times of T. S. Garp, the bastard son of Jenny Fields--a feminist leader ahead of her times. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes--even of sexual assassinations. It is a novel rich with ""lunacy and sorrow""; yet the dark, violent events of the story do not undermine a comedy both ri",John Irving,4.07,The World According to Garp,"183,529","88,601","National Book Award for Fiction (Paperback) (1980),National Book Critics Circle Award Nominee for Fiction (1978),National Book Award Finalist for Fiction (1979)","1,012",1978,609
79,9780684803357,None,Ernest Hemingway,3.96,For Whom the Bell Tolls,"213,394","91,774",None,"1,065",1940,471
78,9780143038092,"In 1949, four Chinese women, recent immigrants to San Francisco, begin meeting to eat dim sum, play mahjong, and talk. United in shared loss and hope, they call themselves the Joy Luck Club. With wit and wisdom, Amy Tan examines the sometimes painful, often tender, and always deep connection between these four women and their American-born daughters. As each reveals her se",Amy Tan,3.90,The Joy Luck Club,"536,363","92,404","California Book Award Gold Medal for Fiction (1989),Los Angeles Times Book Prize Nominee for Fiction (1989),Northern California Book Awards for Fiction (1989),National Book Critics Circle Award Nominee for Fiction (1989),National Book Award Finalist for Fiction (1989)","1,050",1989,288
77,9780007205233,"Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish child",Frank McCourt,4.08,"Angela's Ashes (Frank McCourt, #1)","441,224","92,752","Pulitzer Prize for Biography or Autobiography (1997),American Booksellers Book Of The Year  Award for Adult Trade (1997),Audie Award for Nonfiction, Abridged (1997),Los Angeles Times Book Prize for Biography (1996),Exclusive Books Boeke Prize (1997)","1,067",1996,432
76,9780451191151,"When The Fountainhead was first published, Ayn Rand''s daringly original literary vision and her groundbreaking philosophy, Objectivism, won immediate worldwide interest and acclaim. This instant classic is the story of an intransigent young architect, his violent battle against conventional standards, and his explosive love affair with a beautiful woman who struggles to d",Ayn Rand,3.85,The Fountainhead,"263,112","93,314",None,"1,019",1943,720
283,9780140283303,"A brilliant satire of mass culture and the numbing effects of technology, , tells the story of Jack Gladney, a teacher of Hitler studies at a liberal arts college in Middle America. Jack and his fourth wife, Babette, bound by their love, fear of death, and four ultramodern offspring, navigate the rocky passages of family life to the background babble of brand-nam",Don DeLillo,3.86,White Noise,"73,203","10,986","National Book Award for Fiction (1985),National Book Critics Circle Award Nominee for Fiction (1985)",134,1985,320
282,9780340606513,"In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser, a heavy drinker and a bon viveur, but to them he became a saviour. This is the extraordinary story of Oskar Schindler, who risked his life to protect Jews in Nazi-occupied Poland and who was transformed by the war into a man with a mission, a c",Thomas Keneally,4.34,Schindler's List,"115,249","11,047","Man Booker Prize (1982),Los Angeles Times Book Prize for Fiction (1983)",162,1982,429
80,,"The text of this Norton Critical Edition is that of the corrected edition scrupulously prepared by Noel Polk, whose textual note precedes the text. David Minter's annotations are designed to assist the reader with obscure words and allusions.,""Backgrounds"" begins with the appendix Faulkner wrote in 1945 and sometimes referred to as another telling of ",William Faulkner,3.86,The Sound and the Fury,"137,645","91,591",None,"1,021",1929,326
275,9780525444442,"Winnie-the-Pooh, the Best Bear in All the World, has long been adored by readers young and old. In this beautiful full-color gift edition of ""The House at Pooh Corner, "" Ernest H. Shepard's classic illustrations have been painstakingly hand-colored. An exquisite volume and the perfect gift for any occasion, this book is as vivid and charming as the beloved characters from",A.A. Milne,4.36,"The House at Pooh Corner (Winnie-the-Pooh, #2)","72,563","11,356",Lewis Carroll Shelf Award (1958),167,1928,180
274,9781860498800,"Margaret Atwood takes the art of storytelling to new heights in a dazzling novel that unfolds layer by astonishing layer and concludes in a brilliant and wonderfully satisfying twist. Told in a style that magnificently captures the colloquialisms and clichés of the 1930s and 1940s, The Blind Assassin is a richly layered and uniquely rewarding experience.,It opens with these",Margaret Atwood,3.95,The Blind Assassin,"115,748","11,412","Man Booker Prize (2000),The International IMPAC Dublin Literary Award Nominee (2002),Orange Prize Nominee for Fiction Shortlist (2001),Hammett Prize (2000),Puddly Award for New Novel (2001)",143,2000,637
281,9780380729401,"A carnival rolls in sometime after the midnight hour on a chill Midwestern October eve, ushering in Halloween a week before its time. A calliope's shrill siren song beckons to all with a seductive promise of dreams and youth regained. In this season of dying, Cooger & Dark's Pandemonium Shadow Show has come to Green Town, Illinois, to destroy every life touched by its",Ray Bradbury,3.95,"Something Wicked This Way Comes (Green Town, #2)","75,927","11,061",None,157,1962,293
280,9780752865331,"Sam Spade is hired by the fragrant Miss Wonderley to track down her sister, who has eloped with a louse called Floyd Thursby. But Miss Wonderley is in fact the beautiful and treacherous Brigid O'Shaughnessy, and when Spade's partner Miles Archer is shot while on Thursby's trail, Spade finds himself both hunter and hunted: can he track down the jewel-encrusted bird, a treas",Dashiell Hammett,3.92,The Maltese Falcon,"70,497","11,133","Audie Award for Audiobook Adaptation (2010),Grammy Award Nominee for Best Spoken Word Album (2010)",158,1930,213
278,9781416914631,"A teen plunges into a downward spiral of addiction in this classic cautionary tale., It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean",Beatrice Sparks,3.76,Go Ask Alice,"210,366","11,315",None,150,1971,213
787,9780060512187,"The bestselling classic that redefined our view of the relationship between beauty and female identity. In today's world, women have more power, legal recognition, and professional success than ever before. Alongside the evident progress of the women's movement, however, writer and journalist Naomi Wolf is troubled by a different kind of social control, which, she argues,",Naomi Wolf,3.89,The Beauty Myth,"15,413","1,375",None,25,1990,368
786,9780440539810,"It was a deadly mistake. Joseph Malik, editor of a radical magazine, had snooped into rumors about an ancient secret society that was still alive and kicking. Now his offices have been bombed, he's missing, and the case has landed in the lap of a tough, cynical, streetwise New York detective. Saul Goodman knows he's stumbled onto something big—but even he can't guess how f",Robert Shea,4.00,The Illuminatus! Trilogy,"13,425","1,380",Prometheus Hall of Fame Award (1986),19,1975,805
279,9780375725784,"'When you read his extraordinary memoir you don't laugh, then cry, then laugh again; you somehow experience these emotions all at once.',""Well, this was when Bill was sighing a lot. He had decided that after our parents died he just didn't want any more fighting between what was left of us. He was twenty-four, Beth was twenty-three, I was twenty-one, Toph was eight, and all",Dave Eggers,3.68,A Heartbreaking Work of Staggering Genius,"153,325","11,252","Pulitzer Prize Nominee for General Nonfiction (2001),Guardian First Book Award Nominee (2000),Borders Original Voices Award for Nonfiction (2000),Puddly Award for Memoir (2001)",141,2000,485
785,9780394758275,"Marlowe's about to give up on a completely routine case when he finds himself in the wrong place at the right time to get caught up in a murder that leads to a ring of jewel thieves, another murder, a fortune-teller, a couple more murders, and more corruption than your average graveyard.",Raymond Chandler,4.16,"Farewell, My Lovely (Philip Marlowe, #2)","25,043","1,382",None,26,1940,292
784,9780060264802,"Fifteen-year-old Laura lives apart from her family for the first time, teaching school in a claim shanty twelve miles from home. She is very homesick, but keeps at it so that she can help pay for her sister Mary's tuition at the college for the blind. During school vacations Laura has fun with her singing lessons, going on sleigh rides, and best of all, helping Almanzo Wil",Laura Ingalls Wilder,4.17,"These Happy Golden Years (Little House, #8)","55,619","1,383",Newbery Honor (1944),21,1943,289
782,9780679433743,"Toni Morrison's , takes place in the tiny farming community of Ruby, Oklahoma, which its residents proudly proclaim ""the one all-black town worth the pain."" Settled by nine African American clans during the 1940s, the town represents a small miracle of self-reliance and community spirit. Readers might be forgiven, in fact, for assuming that Morrison's title refers t",Toni Morrison,3.78,Paradise,"19,640","1,385","The International IMPAC Dublin Literary Award Nominee (2000),Orange Prize Nominee for Fiction Shortlist (1999),Ohioana Book Award for Fiction (1999)",22,1997,318
783,9780226458083,None,Thomas S. Kuhn,3.99,The Structure of Scientific Revolutions,"18,175","1,384",None,22,1962,212
277,9780802131782,"Now hailed as an American classic, ,, Henry Miller’s masterpiece, was banned as obscene in this country for twenty-seven years after its first publication in Paris in 1934. Only a historic court ruling that changed American censorship standards, ushering in a new era of freedom and frankness in modern literature, permitted the publication of this first volum",Henry Miller,3.71,Tropic of Cancer,"51,900","11,329",None,149,1934,318
374,9780375760372,"Pulitzer Prize–winning author James A. Michener brings Hawaii’s epic history vividly to life in a classic saga that has captivated readers since its initial publication in 1959. As the volcanic Hawaiian Islands sprout from the ocean floor, the land remains untouched for centuries—until, little more than a thousand years ago, Polynesian seafarers make the perilous journey a",James A. Michener,4.19,Hawaii,"63,395","6,500",None,100,1959,1136
276,9780142000694,"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl come",John Steinbeck,3.42,The Pearl,"153,581","11,351",None,169,1947,96
373,9780316341516,"Edith Hamilton's , succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths that are the keystone of Western culture--the stories of gods and heroes that have inspired human creativity from antiqu",Edith Hamilton,3.99,Mythology: Timeless Tales of Gods and Heroes,"36,927","6,580",None,105,1942,497
372,9780486424545,A strong-willed and intelligent woman refuses to allow the pretensions of her husband's smug English family to ruin her life.,E.M. Forster,3.95,Howards End,"61,690","6,589",None,94,1910,246
371,9780312181109,"Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, h",Dodie Smith,4.00,I Capture the Castle,"68,493","6,592",None,86,1948,343
